Game Name,Hours Played,Platforms
Idle Clans,0.1,steam
Immortals of Aveum™,0.4,epic
Injustice: Gods Among Us Ultimate Edition,3.1,steam
Jade Empire: Special Edition,3.4,steam
Jennifer Wilde Unlikely Revolutionaries,0.0,epic
Jorel’s Brother and The Most Important Game of the Galaxy,0.0,epic
Jotunnslayer: Hordes of Hel,0.0,epic
Jupiter Hell,0.0,gog
Jurassic World Evolution,0.0,epic
Jurassic World Evolution 2,0.0,"epic, xboxone"
Just Cause 4,0.0,"epic, xboxone"
KeyWe,0.0,epic
Kiki,0.0,steam
Killer Instinct,0.0,"steam, xboxone"
Killing Floor 2,0.0,epic
King of the Board,1.5,steam
Kingdom Come: Deliverance,0.0,epic
Kingdom New Lands,0.0,epic
Kingdoms of Amalur Re-Reckoning,0.0,epic
Knockout City Testing,0.0,epic
LEGO® 2K Drive,0.0,"epic, xboxone"
LEGO® Star Wars™ - The Complete Saga,0.0,gog
LEGO® Star Wars™ III - The Clone Wars™,0.0,gog
LEGO® Star Wars™: The Skywalker Saga,0.0,"epic, xboxone"
Lara Croft and the Temple of Osiris,0.0,steam
Last Epoch,1.0,steam
Leap of Faith + Official Walkthrough,0.0,gog
Leap of Love,0.0,gog
Legacy of Kain: Blood Omen 2,0.0,gog
Legacy of Kain: Defiance (2003),0.2,"gog, steam"
Let's Build a Zoo,0.0,"epic, xboxone"
Liberte,0.0,epic
Limbo,0.0,"epic, xboxone"
Little One,0.0,steam
Loop Hero,0.0,"epic, xboxone"
Lost Ark,18.2,steam
Lovecraft's Untold Stories,0.0,epic
Lust Theory - Season 1,0.0,gog
Lysfanga: The Time Shift Warrior,0.0,epic
MR RACER : Premium,0.0,epic
Machinarium,0.0,epic
Mafia,0.0,steam
Mafia II (Classic),0.0,gog
Mafia II: Definitive Edition,0.0,gog
Mafia III: Definitive Edition,0.0,gog
Mafia: Definitive Edition,0.0,gog
Mahokenshi,0.0,gog
Mail Time,0.0,gog
Make Way,0.0,epic
Maneater,0.0,"epic, xboxone"
Marvel Rivals,0.0,steam
Marvel's Guardians of the Galaxy,0.0,"epic, xboxone"
Marvel's Midnight Suns,0.8,epic
Mass Effect,0.8,"steam, xboxone"
Max Payne 2: The Fall of Max Payne,0.0,steam
Meganoid,0.0,gog
Melvor Idle,0.0,epic
Metro 2033,0.0,steam
Metro Last Light Redux,0.0,"epic, gog"
Metro: 2033 Redux,0.0,"epic, steam"
Metro: Last Light,0.0,steam
Middle-earth™: Shadow of Mordor™ Game of the Year Edition,0.0,gog
Middle-earth™: Shadow of War™,2.4,"gog, xboxone"
Midnight Fight Express,0.0,"gog, xboxone"
Midnight Ghost Hunt,0.0,epic
Mighty Fight Federation,0.0,epic
Monster Train,0.0,"gog, xboxone"
Monument Valley 2,0.0,epic
Moonscars,0.0,"gog, xboxone"
Morbid: The Seven Acolytes,0.0,epic
Mordheim: City of the Damned,0.0,gog
Mortal Kombat 11,0.0,"steam, xboxone"
Mortal Shell,0.0,"epic, xboxone"
Mount & Blade II: Bannerlord,8.9,"epic, xboxone"
Mount & Blade: Warband,53.0,steam
MudRunner,0.0,epic
Mutant Year Zero: Road to Eden,0.0,epic
My Time at Portia,0.0,"epic, xboxone"
NBA 2K21,0.0,epic
Narvas,0.0,steam
Necromunda: Hired Gun,0.0,epic
Need for Speed™ Most Wanted,0.8,steam
Need for Speed™ Rivals,0.7,"steam, xboxone"
"Neko Ghost, Jump!",0.0,epic
Neverwinter,4.6,"epic, steam"
Neverwinter Nights Diamond,0.0,gog
Neverwinter Nights: Enhanced Edition,0.0,gog
New Tales from the Borderlands,0.0,epic
Night in the Woods,0.0,epic
Nightingale - Legacy Mode,0.0,epic
Nightshade,0.0,steam
Nine Realms: Dawn Touch,0.6,steam
Nioh: The Complete Edition,1.5,epic
No Straight Roads,0.0,epic
Nobody Wants to Die,0.0,epic
Oddworld: New 'n' Tasty,0.0,epic
Ogu and the Secret Forest,0.0,epic
Orcs Must Die! 3,0.0,epic
Overcooked! 2,0.9,"epic, gog, xboxone"
Ozmafia!!,0.0,steam
PAYDAY 2,0.3,"epic, steam"
POSTAL 2,0.0,gog
PREY,0.0,"epic, xboxone"
Paquerette Down the Bunburrows,0.0,epic
Paradise Killer,0.0,"epic, xboxone"
Party Club,0.0,steam
Path of Exile,0.0,epic
Pathfinder Kingmaker - Enhanced Plus Edition,0.0,epic
Pathfinder: Wrath of the Righteous,0.0,steam
Pathway,0.0,epic
Pet Lands,0.0,steam
Phoenix Dynasty 2,0.0,steam
Pillars of Eternity - Definitive Edition,0.0,"epic, xboxone"
Pine,0.0,epic
Pixel Gun 3D,0.0,epic
Pizza Connection 2,0.4,steam
Planet of Lana,0.0,"gog, xboxone"
PlateUp!,0.0,"epic, xboxone"
Potion Permit,0.0,epic
Priest Simulator: Vampire Show,0.0,epic
Prison Architect,0.0,epic
Project Winter,0.0,epic
Pumpkin Jack,0.0,gog
Quake,0.0,"epic, xboxone"
Quake 4,0.0,"gog, xboxone"
Quake II,0.0,"gog, xboxone"
Quake II (Original),0.0,"gog, xboxone"
Quake II RTX,0.0,steam
RIOT - Civil Unrest,0.0,gog
Rage 2,0.0,"epic, xboxone"
Railway Empire,0.0,epic
Rainbow Six Siege,0.0,"steam, xboxone"
Rebel Galaxy Outlaw,0.0,gog
Redemption Reapers,0.0,epic
Redout 2,0.0,epic
Remnant: From the Ashes,0.0,"epic, xboxone"
Republic of Jungle,0.0,epic
Residual,0.0,gog
Rise of Nations: Extended Edition,0.5,"steam, xboxone"
Rise of the Tomb Raider: 20 Year Celebration,0.0,"epic, xboxone"
Rising Storm 2: Vietnam Beta,0.0,epic
Risk: Global Domination,2.2,steam
River City Girls,0.0,epic
Rocket League,1.2,epic
RollerCoaster Tycoon® 3: Complete Edition,0.0,epic
Ryse: Son of Rome,0.0,"steam, xboxone"
SKALD Against the Black Priory,0.0,epic
STALCRAFT: X,0.0,epic
STAR WARS™ Battlefront™ II: Celebration Edition,0.0,epic
STAR WARS™ Galactic Battlegrounds Saga,0.0,gog
STAR WARS™ Jedi Knight: Dark Forces II,0.0,gog
STAR WARS™ Jedi Knight: Dark Forces II - Mysteries of the Sith,0.0,gog
STAR WARS™: Bounty Hunter™,0.0,gog
STAR WARS™: The Old Republic™,0.0,steam
STASIS : BONE TOTEM,0.0,epic
Saints Row,0.0,epic
Saints Row 2,0.0,gog
Saints Row IV: Re-Elected,0.0,gog
Saints Row The Third Remastered,0.0,"epic, gog"
Saints Row: Gat out of Hell,0.0,gog
Samorost 2,0.0,epic
Sands of Aura,0.0,epic
Sapphire Safari,0.0,gog
Scarf,0.0,epic
Scorn,0.0,"gog, xboxone"
Scourgebringer,0.0,epic
Scribble It!,1.4,steam
Second Extinction™,0.0,epic
Sega Genesis Classics,0.1,steam
Serious Sam II,5.5,steam
Session: Skate Sim,0.0,epic
Shadow Tactics: Blades of the Shogun,0.0,epic
Shadow of the Tomb Raider: Definitive Edition,0.0,"epic, xboxone"
Shenmue 3,0.0,epic
